id;cost;date;tool_id;company_id
1;25030;2020-03-30 00:00:00;1;1
2;2030;2020-04-27 00:00:00;2;1
3;15030;2020-04-28 00:00:00;3;3
4;25630;2020-04-24 00:00:00;1;1
5;2530;2020-04-30 00:00:00;2;2
6;77030;2020-04-29 00:00:00;1;1
7;1030;2020-04-22 00:00:00;1;2
8;55030;2020-03-30 00:00:00;4;2
9;27830;2020-02-30 00:00:00;3;3
10;17230;2020-01-30 00:00:00;3;3
11;27830;2019-10-30 00:00:00;3;1
12;27830;2020-09-30 00:00:00;2;3
13;27830;2019-11-21 00:00:00;3;2
14;27830;2019-12-20 00:00:00;4;3
15;27830;2020-01-01 00:00:00;3;3
16;2780;2020-01-11 00:00:00;4;1
17;270;2020-09-30 00:00:00;2;3
18;27830;2020-09-30 00:00:00;3;2
19;13430;2020-01-10 00:00:00;1;3
20;2780;2020-02-12 00:00:00;1;3
